Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,raw_data
1679948278.2823296,1482,73078,0,GPS1_Frame,42.34381166666667,-71.07951333333334,21.600000381469727,1.5,328706.2703815429,4690044.687735744,20:17:58,19,T,
1679948278.5669732,1483,73078,0,GPS1_Frame,42.34381166666667,-71.07951333333334,0.0,0.0,328706.2703815429,4690044.687735744,20:17:58,19,T,
1679948279.2823355,1484,73079,0,GPS1_Frame,42.343763333333335,-71.079445,21.600000381469727,1.5,328711.7681073312,4690039.183014261,20:17:59,19,T,
1679948279.5662081,1485,73079,0,GPS1_Frame,42.343763333333335,-71.079445,0.0,0.0,328711.7681073312,4690039.183014261,20:17:59,19,T,
1679948280.2988334,1486,73080,0,GPS1_Frame,42.343715,-71.07937333333334,21.600000381469727,1.5,328717.5404270615,4690033.671582076,20:18:0,19,T,
1679948281.0413325,1487,73080,0,GPS1_Frame,42.343715,-71.07937333333334,0.0,0.0,328717.5404270615,4690033.671582076,20:18:0,19,T,
1679948281.2994132,1488,73081,0,GPS1_Frame,42.34367,-71.07930166666667,21.5,1.5,328723.3218078709,4690028.530296371,20:18:1,19,T,
1679948281.5842392,1489,73081,0,GPS1_Frame,42.34367,-71.07930166666667,0.0,0.0,328723.3218078709,4690028.530296371,20:18:1,19,T,
1679948282.2823334,1490,73082,0,GPS1_Frame,42.343621666666664,-71.07923166666667,21.399999618530273,1.5,328728.9568527851,4690023.022231735,20:18:2,19,T,
1679948282.5662024,1491,73082,0,GPS1_Frame,42.343621666666664,-71.07923166666667,0.0,0.0,328728.9568527851,4690023.022231735,20:18:2,19,T,
1679948283.280454,1492,73083,0,GPS1_Frame,42.343575,-71.07916166666666,21.399999618530273,1.5,328734.59643229214,4690017.699242641,20:18:3,19,T,
1679948283.5647287,1493,73083,0,GPS1_Frame,42.343575,-71.07916166666666,0.0,0.0,328734.59643229214,4690017.699242641,20:18:3,19,T,
1679948284.2814028,1494,73084,0,GPS1_Frame,42.34352833333333,-71.079095,21.600000381469727,1.5,328739.9614344168,4690012.382972776,20:18:4,19,T,
1679948284.5653625,1495,73084,0,GPS1_Frame,42.34352833333333,-71.079095,0.0,0.0,328739.9614344168,4690012.382972776,20:18:4,19,T,
1679948285.2830515,1496,73085,0,GPS1_Frame,42.34348166666667,-71.07902666666666,21.600000381469727,1.5,328745.4637378772,4690007.063350207,20:18:5,19,T,
1679948286.0249588,1497,73085,0,GPS1_Frame,42.34348166666667,-71.07902666666666,0.0,0.0,328745.4637378772,4690007.063350207,20:18:5,19,T,
1679948286.2832797,1498,73086,0,GPS1_Frame,42.34343666666667,-71.07896333333333,21.299999237060547,1.5,328750.55869534437,4690001.938873893,20:18:6,19,T,
1679948286.5671449,1499,73086,0,GPS1_Frame,42.34343666666667,-71.07896333333333,0.0,0.0,328750.55869534437,4690001.938873893,20:18:6,19,T,
1679948287.2829564,1500,73087,0,GPS1_Frame,42.34339333333333,-71.0789,21.200000762939453,1.5,328755.6581854159,4689996.9994722335,20:18:7,19,T,
1679948287.5669224,1501,73087,0,GPS1_Frame,42.34339333333333,-71.0789,0.0,0.0,328755.6581854159,4689996.9994722335,20:18:7,19,T,
1679948288.2833877,1502,73088,0,GPS1_Frame,42.34335,-71.07883666666666,20.899999618530273,1.5,328760.75768274197,4689992.060074533,20:18:8,19,T,
1679948288.5674205,1503,73088,0,GPS1_Frame,42.34335,-71.07883666666666,0.0,0.0,328760.75768274197,4689992.060074533,20:18:8,19,T,
1679948289.2835166,1504,73089,0,GPS1_Frame,42.34331,-71.07877833333333,20.600000381469727,1.5,328765.45435644116,4689987.500892222,20:18:9,19,T,
1679948289.5678773,1505,73089,0,GPS1_Frame,42.34331,-71.07877833333333,0.0,0.0,328765.45435644116,4689987.500892222,20:18:9,19,T,
1679948290.2836266,1506,73090,0,GPS1_Frame,42.343273333333336,-71.07872666666667,20.600000381469727,1.5,328769.6109113979,4689983.325281038,20:18:10,19,T,
1679948291.025938,1507,73090,0,GPS1_Frame,42.343273333333336,-71.07872666666667,0.0,0.0,328769.6109113979,4689983.325281038,20:18:10,19,T,
1679948291.2831059,1508,73091,0,GPS1_Frame,42.343243333333334,-71.07868333333333,20.5,1.5,328773.09910148685,4689979.906737873,20:18:11,19,T,
1679948291.5647938,1509,73091,0,GPS1_Frame,42.343243333333334,-71.07868333333333,0.0,0.0,328773.09910148685,4689979.906737873,20:18:11,19,T,
1679948292.2840257,1510,73092,0,GPS1_Frame,42.34321833333333,-71.07865,20.5,1.5,328775.777106388,4689977.063547445,20:18:12,19,T,
1679948292.5658443,1511,73092,0,GPS1_Frame,42.34321833333333,-71.07865,0.0,0.0,328775.777106388,4689977.063547445,20:18:12,19,T,
1679948293.283316,1512,73093,0,GPS1_Frame,42.343196666666664,-71.078625,20.200000762939453,1.5,328777.77769372764,4689974.607281647,20:18:13,19,T,
1679948293.5650454,1513,73093,0,GPS1_Frame,42.343196666666664,-71.078625,0.0,0.0,328777.77769372764,4689974.607281647,20:18:13,19,T,
